Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
378.00	0.12206	608.01	0.0016447	1.6488	1.6689	4.4442	208.40	259.46	808.20	-0.25027	184.80	0.11146	0.012067	4.1418	0.24144	29.994	32.947	87.191	195.32	206.86	170.91	30.013	7.7494	0.018735
379.20	0.12625	606.84	0.0016479	1.9601	1.9809	5.2664	208.87	260.05	803.50	-0.24690	183.05	0.11118	0.011954	4.2768	0.23382	30.212	33.170	87.516	195.91	207.54	170.92	29.734	7.7783	0.018859
380.40	0.13055	605.68	0.0016510	2.2720	2.2936	6.0879	209.35	260.65	798.79	-0.24349	181.32	0.11090	0.011842	4.4153	0.22649	30.430	33.393	87.843	196.51	208.23	170.93	29.460	7.8073	0.018984
381.60	0.13496	604.50	0.0016542	2.5846	2.6070	6.9085	209.83	261.24	794.09	-0.24003	179.62	0.11062	0.011730	4.5573	0.21943	30.649	33.616	88.170	197.10	208.92	170.94	29.191	7.8364	0.019110
382.80	0.13949	603.33	0.0016575	2.8980	2.9211	7.7285	210.31	261.84	789.38	-0.23653	177.93	0.11033	0.011619	4.7029	0.21263	30.868	33.840	88.499	197.70	209.61	170.93	28.928	7.8656	0.019236
384.00	0.14413	602.15	0.0016607	3.2120	3.2360	8.5476	210.79	262.43	784.68	-0.23299	176.27	0.11005	0.011507	4.8522	0.20609	31.087	34.064	88.829	198.30	210.30	170.93	28.669	7.8949	0.019362
385.20	0.14889	600.97	0.0016640	3.5267	3.5516	9.3661	211.27	263.03	779.97	-0.22939	174.62	0.10977	0.011396	5.0052	0.19979	31.307	34.288	89.160	198.90	210.99	170.92	28.416	7.9243	0.019489
386.40	0.15378	599.78	0.0016673	3.8422	3.8678	10.184	211.76	263.64	775.26	-0.22575	173.00	0.10949	0.011285	5.1620	0.19372	31.527	34.512	89.492	199.49	211.69	170.90	28.169	7.9539	0.019617
387.60	0.15878	598.59	0.0016706	4.1583	4.1849	11.001	212.24	264.24	770.56	-0.22206	171.40	0.10921	0.011174	5.3226	0.18788	31.748	34.737	89.825	200.09	212.39	170.87	27.926	7.9835	0.019745
388.80	0.16392	597.39	0.0016739	4.4751	4.5026	11.817	212.72	264.85	765.85	-0.21832	169.81	0.10893	0.011064	5.4872	0.18224	31.969	34.962	90.159	200.69	213.09	170.84	27.687	8.0132	0.019874
390.00	0.16918	596.20	0.0016773	4.7927	4.8211	12.633	213.20	265.46	761.14	-0.21452	168.25	0.10865	0.010954	5.6559	0.17681	32.190	35.187	90.495	201.29	213.79	170.81	27.454	8.0431	0.020003
391.20	0.17457	594.99	0.0016807	5.1109	5.1403	13.448	213.68	266.07	756.43	-0.21067	166.70	0.10837	0.010844	5.8286	0.17157	32.412	35.413	90.831	201.88	214.50	170.77	27.226	8.0731	0.020133
392.40	0.18009	593.78	0.0016841	5.4299	5.4603	14.262	214.16	266.68	751.71	-0.20677	165.17	0.10809	0.010734	6.0055	0.16651	32.634	35.638	91.168	202.48	215.21	170.72	27.002	8.1032	0.020264
393.60	0.18574	592.57	0.0016876	5.7496	5.7810	15.076	214.64	267.30	747.00	-0.20280	163.66	0.10781	0.010625	6.1866	0.16164	32.856	35.864	91.506	203.08	215.93	170.67	26.782	8.1334	0.020395
394.80	0.19153	591.35	0.0016910	6.0700	6.1024	15.888	215.12	267.91	742.28	-0.19878	162.17	0.10753	0.010515	6.3721	0.15693	33.078	36.090	91.846	203.68	216.64	170.61	26.567	8.1637	0.020526
396.00	0.19746	590.13	0.0016945	6.3911	6.4246	16.701	215.60	268.53	737.57	-0.19470	160.69	0.10725	0.010406	6.5620	0.15239	33.301	36.317	92.186	204.28	217.36	170.54	26.357	8.1942	0.020658
397.20	0.20353	588.91	0.0016981	6.7129	6.7475	17.512	216.08	269.16	732.85	-0.19056	159.23	0.10697	0.010298	6.7564	0.14801	33.525	36.543	92.527	204.88	218.08	170.47	26.151	8.2248	0.020791
398.40	0.20974	587.68	0.0017016	7.0354	7.0712	18.323	216.56	269.78	728.12	-0.18635	157.78	0.10669	0.010189	6.9553	0.14377	33.748	36.770	92.869	205.48	218.81	170.39	25.949	8.2555	0.020925
399.60	0.21610	586.44	0.0017052	7.3587	7.3956	19.134	217.04	270.41	723.40	-0.18208	156.36	0.10641	0.010081	7.1589	0.13969	33.972	36.997	93.211	206.08	219.54	170.31	25.752	8.2864	0.021059
400.80	0.22260	585.20	0.0017088	7.6827	7.7208	19.944	217.52	271.04	718.67	-0.17774	154.94	0.10614	0.0099727	7.3673	0.13574	34.197	37.224	93.555	206.68	220.27	170.22	25.558	8.3174	0.021193
402.00	0.22925	583.95	0.0017125	8.0074	8.0468	20.753	218.00	271.67	713.94	-0.17334	153.55	0.10586	0.0098649	7.5805	0.13192	34.421	37.452	93.899	207.28	221.00	170.12	25.369	8.3486	0.021328
403.20	0.23606	582.70	0.0017161	8.3329	8.3735	21.561	218.48	272.31	709.21	-0.16886	152.17	0.10558	0.0097574	7.7986	0.12823	34.646	37.679	94.244	207.88	221.74	170.01	25.184	8.3799	0.021464
404.40	0.24302	581.45	0.0017198	8.6591	8.7009	22.369	218.96	272.95	704.47	-0.16430	150.80	0.10530	0.0096502	8.0217	0.12466	34.871	37.907	94.590	208.48	222.48	169.90	25.003	8.4114	0.021600
405.60	0.25013	580.19	0.0017236	8.9860	9.0292	23.177	219.44	273.59	699.73	-0.15967	149.45	0.10503	0.0095431	8.2500	0.12121	35.097	38.135	94.936	209.08	223.23	169.79	24.826	8.4430	0.021737
406.80	0.25740	578.92	0.0017274	9.3136	9.3582	23.984	219.93	274.24	694.99	-0.15497	148.11	0.10475	0.0094364	8.4834	0.11788	35.323	38.363	95.283	209.68	223.98	169.66	24.652	8.4748	0.021875
408.00	0.26483	577.65	0.0017312	9.6420	9.6880	24.790	220.41	274.88	690.24	-0.15018	146.78	0.10447	0.0093299	8.7221	0.11465	35.549	38.591	95.631	210.28	224.73	169.53	24.483	8.5067	0.022013
409.20	0.27243	576.37	0.0017350	9.9712	10.019	25.596	220.89	275.53	685.49	-0.14531	145.47	0.10420	0.0092236	8.9663	0.11153	35.775	38.820	95.980	210.88	225.49	169.39	24.317	8.5389	0.022152
410.40	0.28019	575.08	0.0017389	10.301	10.350	26.401	221.37	276.19	680.74	-0.14035	144.18	0.10392	0.0091177	9.2160	0.10851	36.002	39.048	96.329	211.48	226.25	169.25	24.155	8.5711	0.022291
411.60	0.28811	573.80	0.0017428	10.632	10.682	27.206	221.85	276.85	675.98	-0.13531	142.89	0.10364	0.0090119	9.4712	0.10558	36.229	39.277	96.678	212.09	227.01	169.09	23.997	8.6036	0.022432
412.80	0.29621	572.50	0.0017467	10.963	11.015	28.010	222.33	277.51	671.22	-0.13018	141.62	0.10337	0.0089065	9.7322	0.10275	36.456	39.506	97.028	212.69	227.78	168.93	23.842	8.6363	0.022572
414.00	0.30448	571.20	0.0017507	11.295	11.349	28.814	222.81	278.17	666.45	-0.12495	140.37	0.10309	0.0088013	9.9990	0.10001	36.683	39.735	97.379	213.29	228.55	168.77	23.692	8.6691	0.022714
415.20	0.31293	569.89	0.0017547	11.628	11.683	29.617	223.29	278.84	661.68	-0.11963	139.12	0.10282	0.0086963	10.272	0.097354	36.911	39.964	97.730	213.89	229.33	168.59	23.544	8.7021	0.022856
416.40	0.32155	568.58	0.0017588	11.962	12.018	30.420	223.77	279.51	656.90	-0.11420	137.89	0.10254	0.0085917	10.551	0.094782	37.139	40.193	98.082	214.49	230.11	168.41	23.400	8.7354	0.022998
417.60	0.33035	567.26	0.0017629	12.296	12.354	31.222	224.25	280.18	652.12	-0.10868	136.67	0.10226	0.0084873	10.836	0.092289	37.367	40.422	98.434	215.10	230.90	168.22	23.260	8.7688	0.023142
418.80	0.33933	565.93	0.0017670	12.631	12.691	32.024	224.73	280.86	647.33	-0.10304	135.46	0.10199	0.0083831	11.127	0.089873	37.596	40.652	98.786	215.70	231.69	168.02	23.123	8.8024	0.023286
420.00	0.34850	564.60	0.0017712	12.967	13.029	32.825	225.20	281.55	642.54	-0.097302	134.26	0.10171	0.0082793	11.424	0.087532	37.824	40.881	99.139	216.30	232.49	167.82	22.990	8.8363	0.023431
421.20	0.35785	563.26	0.0017754	13.304	13.368	33.626	225.68	282.23	637.74	-0.091446	133.08	0.10144	0.0081757	11.729	0.085262	38.053	41.111	99.492	216.90	233.29	167.60	22.860	8.8704	0.023576
422.40	0.36740	561.91	0.0017796	13.641	13.707	34.426	226.16	282.92	632.94	-0.085474	131.90	0.10116	0.0080724	12.039	0.083060	38.282	41.340	99.846	217.50	234.10	167.38	22.733	8.9046	0.023722
423.60	0.37713	560.56	0.0017839	13.980	14.047	35.226	226.64	283.62	628.13	-0.079380	130.74	0.10088	0.0079693	12.357	0.080925	38.512	41.570	100.20	218.11	234.92	167.15	22.610	8.9392	0.023869
424.80	0.38706	559.20	0.0017883	14.319	14.388	36.026	227.12	284.32	623.31	-0.073161	129.58	0.10061	0.0078666	12.682	0.078854	38.741	41.800	100.55	218.71	235.74	166.92	22.490	8.9739	0.024016
426.00	0.39719	557.83	0.0017927	14.659	14.730	36.825	227.60	285.02	618.49	-0.066813	128.44	0.10033	0.0077641	13.013	0.076845	38.971	42.029	100.91	219.31	236.56	166.67	22.373	9.0089	0.024165
427.20	0.40751	556.46	0.0017971	14.999	15.073	37.624	228.08	285.73	613.66	-0.060330	127.31	0.10006	0.0076619	13.352	0.074895	39.201	42.259	101.26	219.92	237.39	166.42	22.260	9.0442	0.024314
428.40	0.41804	555.08	0.0018016	15.341	15.416	38.422	228.56	286.45	608.82	-0.053709	126.19	0.099780	0.0075600	13.698	0.073002	39.431	42.489	101.62	220.52	238.23	166.15	22.150	9.0797	0.024463
429.60	0.42877	553.69	0.0018061	15.683	15.760	39.221	229.04	287.17	603.98	-0.046944	125.07	0.099503	0.0074584	14.052	0.071165	39.661	42.719	101.97	221.12	239.08	165.88	22.043	9.1155	0.024614
430.80	0.43971	552.29	0.0018107	16.026	16.105	40.018	229.52	287.89	599.13	-0.040031	123.97	0.099227	0.0073570	14.413	0.069381	39.891	42.948	102.33	221.73	239.93	165.60	21.939	9.1516	0.024765
432.00	0.45086	550.88	0.0018153	16.369	16.452	40.816	229.99	288.62	594.27	-0.032963	122.88	0.098950	0.0072560	14.782	0.067648	40.122	43.178	102.68	222.33	240.79	165.31	21.839	9.1879	0.024917
433.20	0.46222	549.47	0.0018199	16.714	16.798	41.613	230.47	289.36	589.41	-0.025735	121.79	0.098673	0.0071552	15.160	0.065965	40.353	43.408	103.04	222.94	241.65	165.01	21.741	9.2245	0.025069
434.40	0.47380	548.04	0.0018247	17.060	17.146	42.410	230.95	290.10	584.53	-0.018341	120.72	0.098396	0.0070547	15.545	0.064330	40.583	43.638	103.39	223.54	242.53	164.71	21.647	9.2615	0.025223
435.60	0.48559	546.61	0.0018294	17.406	17.495	43.206	231.43	290.84	579.65	-0.010776	119.65	0.098119	0.0069546	15.938	0.062742	40.814	43.867	103.75	224.14	243.41	164.39	21.556	9.2987	0.025377
436.80	0.49761	545.17	0.0018343	17.753	17.844	44.002	231.91	291.60	574.76	-0.0030324	118.59	0.097841	0.0068547	16.340	0.061198	41.045	44.097	104.10	224.75	244.30	164.07	21.468	9.3362	0.025532
438.00	0.50984	543.72	0.0018392	18.101	18.195	44.798	232.39	292.36	569.86	0.0048966	117.54	0.097563	0.0067551	16.751	0.059698	41.277	44.326	104.46	225.35	245.20	163.73	21.383	9.3741	0.025688
439.20	0.52230	542.27	0.0018441	18.449	18.546	45.594	232.86	293.12	564.95	0.013018	116.50	0.097285	0.0066559	17.171	0.058239	41.508	44.556	104.81	225.96	246.11	163.39	21.302	9.4123	0.025845
440.40	0.53499	540.80	0.0018491	18.799	18.898	46.389	233.34	293.90	560.03	0.021339	115.47	0.097007	0.0065569	17.599	0.056821	41.739	44.785	105.17	226.56	247.03	163.03	21.223	9.4509	0.026002
441.60	0.54792	539.32	0.0018542	19.149	19.251	47.184	233.82	294.68	555.10	0.029868	114.44	0.096728	0.0064582	18.037	0.055441	41.971	45.014	105.53	227.17	247.96	162.67	21.148	9.4898	0.026161
442.80	0.56107	537.84	0.0018593	19.500	19.605	47.979	234.30	295.47	550.16	0.038612	113.43	0.096449	0.0063599	18.484	0.054100	42.202	45.244	105.88	227.78	248.89	162.29	21.076	9.5290	0.026320
444.00	0.57446	536.34	0.0018645	19.853	19.960	48.774	234.78	296.26	545.21	0.047582	112.42	0.096169	0.0062619	18.941	0.052794	42.434	45.473	106.23	228.38	249.84	161.91	21.006	9.5687	0.026480
445.20	0.58810	534.83	0.0018697	20.205	20.316	49.568	235.25	297.07	540.26	0.056785	111.42	0.095889	0.0061641	19.408	0.051524	42.665	45.701	106.59	228.99	250.80	161.51	20.940	9.6087	0.026641
446.40	0.60197	533.32	0.0018751	20.559	20.672	50.363	235.73	297.88	535.29	0.066231	110.42	0.095608	0.0060667	19.885	0.050289	42.897	45.930	106.94	229.60	251.77	161.11	20.877	9.6492	0.026803
447.60	0.61609	531.79	0.0018805	20.914	21.030	51.157	236.21	298.70	530.31	0.075931	109.43	0.095327	0.0059696	20.373	0.049086	43.128	46.158	107.30	230.20	252.76	160.69	20.817	9.6900	0.026966
448.80	0.63046	530.25	0.0018859	21.269	21.389	51.951	236.69	299.53	525.31	0.085896	108.45	0.095045	0.0058729	20.870	0.047915	43.360	46.387	107.65	230.81	253.75	160.26	20.761	9.7313	0.027129
450.00	0.64507	528.70	0.0018914	21.626	21.748	52.745	237.17	300.37	520.31	0.096136	107.48	0.094763	0.0057765	21.379	0.046774	43.591	46.615	108.00	231.42	254.76	159.83	20.707	9.7730	0.027294
451.20	0.65995	527.14	0.0018970	21.983	22.109	53.538	237.64	301.22	515.30	0.10666	106.51	0.094480	0.0056803	21.899	0.045664	43.823	46.843	108.36	232.03	255.78	159.38	20.657	9.8152	0.027460
452.40	0.67507	525.56	0.0019027	22.341	22.470	54.332	238.12	302.08	510.27	0.11749	105.55	0.094196	0.0055846	22.430	0.044583	44.054	47.070	108.71	232.63	256.82	158.92	20.609	9.8579	0.027626
453.60	0.69046	523.98	0.0019085	22.701	22.833	55.126	238.60	302.95	505.23	0.12863	104.60	0.093912	0.0054891	22.973	0.043529	44.286	47.297	109.06	233.24	257.87	158.44	20.565	9.9010	0.027794
454.80	0.70611	522.38	0.0019143	23.061	23.196	55.919	239.08	303.83	500.17	0.14010	103.65	0.093627	0.0053940	23.528	0.042503	44.517	47.524	109.41	233.85	258.94	157.96	20.525	9.9447	0.027963
456.00	0.72203	520.77	0.0019202	23.422	23.560	56.713	239.56	304.73	495.11	0.15191	102.70	0.093341	0.0052993	24.095	0.041502	44.748	47.751	109.76	234.46	260.02	157.46	20.487	9.9889	0.028132
457.20	0.73822	519.15	0.0019262	23.783	23.926	57.506	240.03	305.63	490.03	0.16408	101.77	0.093054	0.0052049	24.675	0.040528	44.980	47.977	110.11	235.07	261.13	156.96	20.453	10.034	0.028303
458.40	0.75467	517.51	0.0019323	24.146	24.292	58.300	240.51	306.55	484.93	0.17663	100.84	0.092767	0.0051108	25.267	0.039577	45.211	48.203	110.46	235.69	262.25	156.44	20.422	10.079	0.028475
459.60	0.77141	515.86	0.0019385	24.510	24.660	59.093	240.99	307.48	479.82	0.18956	99.910	0.092478	0.0050171	25.873	0.038651	45.442	48.429	110.81	236.30	263.38	155.90	20.394	10.125	0.028648
460.80	0.78842	514.19	0.0019448	24.875	25.028	59.887	241.47	308.43	474.70	0.20291	98.989	0.092189	0.0049237	26.492	0.037747	45.672	48.654	111.16	236.91	264.54	155.36	20.370	10.171	0.028822
462.00	0.80571	512.52	0.0019512	25.240	25.398	60.681	241.95	309.39	469.56	0.21669	98.073	0.091898	0.0048307	27.125	0.036866	45.903	48.879	111.51	237.52	265.72	154.80	20.349	10.218	0.028997
463.20	0.82328	510.82	0.0019576	25.607	25.769	61.474	242.43	310.37	464.40	0.23093	97.162	0.091607	0.0047381	27.773	0.036007	46.133	49.104	111.85	238.14	266.92	154.23	20.331	10.266	0.029174
464.40	0.84115	509.11	0.0019642	25.975	26.140	62.268	242.91	311.36	459.23	0.24564	96.255	0.091314	0.0046458	28.435	0.035168	46.363	49.327	112.20	238.75	268.15	153.65	20.318	10.314	0.029351
465.60	0.85930	507.39	0.0019709	26.343	26.513	63.062	243.39	312.37	454.05	0.26085	95.353	0.091020	0.0045539	29.112	0.034350	46.593	49.551	112.54	239.37	269.40	153.05	20.307	10.363	0.029530
466.80	0.87775	505.65	0.0019777	26.713	26.887	63.856	243.87	313.40	448.84	0.27658	94.456	0.090725	0.0044624	29.805	0.033551	46.823	49.774	112.89	239.98	270.67	152.44	20.300	10.413	0.029710
468.00	0.89649	503.89	0.0019846	27.084	27.262	64.651	244.35	314.44	443.62	0.29287	93.562	0.090429	0.0043712	30.514	0.032772	47.052	49.996	113.23	240.60	271.97	151.81	20.297	10.464	0.029892
469.20	0.91554	502.11	0.0019916	27.455	27.638	65.446	244.83	315.51	438.38	0.30975	92.673	0.090131	0.0042804	31.239	0.032011	47.281	50.218	113.57	241.22	273.31	151.17	20.298	10.515	0.030075
470.40	0.93489	500.32	0.0019987	27.828	28.015	66.240	245.31	316.60	433.12	0.32724	91.787	0.089832	0.0041901	31.982	0.031268	47.510	50.439	113.91	241.83	274.67	150.51	20.302	10.567	0.030259
471.60	0.95455	498.51	0.0020060	28.202	28.394	67.036	245.80	317.71	427.85	0.34538	90.906	0.089531	0.0041001	32.742	0.030542	47.738	50.660	114.25	242.45	276.06	149.84	20.310	10.620	0.030444
472.80	0.97452	496.68	0.0020134	28.577	28.774	67.831	246.28	318.84	422.55	0.36420	90.027	0.089229	0.0040105	33.520	0.029833	47.966	50.879	114.59	243.07	277.49	149.16	20.322	10.674	0.030631
474.00	0.99481	494.83	0.0020209	28.953	29.154	68.627	246.76	320.00	417.23	0.38375	89.152	0.088925	0.0039213	34.316	0.029141	48.194	51.099	114.92	243.70	278.95	148.46	20.338	10.729	0.030820
475.20	1.0154	492.96	0.0020286	29.330	29.537	69.423	247.25	321.18	411.90	0.40407	88.280	0.088619	0.0038325	35.132	0.028464	48.421	51.317	115.26	244.32	280.45	147.74	20.358	10.784	0.031010
476.40	1.0363	491.06	0.0020364	29.708	29.920	70.220	247.73	322.39	406.54	0.42520	87.410	0.088312	0.0037442	35.968	0.027803	48.647	51.534	115.59	244.94	281.99	147.01	20.383	10.841	0.031202
477.60	1.0576	489.15	0.0020444	30.088	30.305	71.017	248.22	323.63	401.16	0.44719	86.544	0.088002	0.0036562	36.824	0.027156	48.873	51.751	115.92	245.57	283.57	146.26	20.411	10.899	0.031395
478.80	1.0792	487.22	0.0020525	30.469	30.690	71.815	248.70	324.90	395.75	0.47009	85.680	0.087691	0.0035687	37.701	0.026524	49.099	51.967	116.25	246.19	285.20	145.50	20.444	10.958	0.031590
480.00	1.1011	485.26	0.0020608	30.850	31.078	72.613	249.19	326.20	390.33	0.49397	84.818	0.087377	0.0034816	38.600	0.025906	49.324	52.182	116.58	246.82	286.88	144.72	20.482	11.017	0.031786
481.20	1.1233	483.28	0.0020692	31.233	31.466	73.412	249.68	327.54	384.88	0.51888	83.958	0.087061	0.0033950	39.522	0.025302	49.548	52.396	116.91	247.45	288.61	143.92	20.524	11.079	0.031985
482.40	1.1459	481.27	0.0020778	31.618	31.856	74.212	250.17	328.91	379.41	0.54489	83.100	0.086743	0.0033088	40.468	0.024711	49.772	52.609	117.23	248.08	290.40	143.10	20.571	11.141	0.032185
483.60	1.1689	479.24	0.0020867	32.003	32.247	75.012	250.66	330.33	373.91	0.57207	82.243	0.086422	0.0032230	41.438	0.024132	49.995	52.821	117.55	248.71	292.24	142.27	20.622	11.204	0.032387
484.80	1.1921	477.18	0.0020957	32.390	32.640	75.813	251.15	331.79	368.39	0.60050	81.388	0.086099	0.0031377	42.433	0.023566	50.217	53.032	117.88	249.34	294.15	141.42	20.679	11.269	0.032592
486.00	1.2158	475.09	0.0021049	32.778	33.034	76.615	251.64	333.29	362.84	0.63028	80.534	0.085773	0.0030529	43.455	0.023012	50.438	53.242	118.19	249.98	296.12	140.55	20.740	11.336	0.032798
487.20	1.2398	472.97	0.0021143	33.167	33.430	77.418	252.14	334.84	357.26	0.66148	79.681	0.085445	0.0029685	44.504	0.022470	50.659	53.450	118.51	250.62	298.17	139.66	20.807	11.404	0.033006
488.40	1.2641	470.83	0.0021239	33.558	33.827	78.221	252.63	336.44	351.65	0.69422	78.828	0.085113	0.0028846	45.581	0.021939	50.878	53.657	118.82	251.26	300.30	138.75	20.880	11.473	0.033217
489.60	1.2889	468.65	0.0021338	33.951	34.226	79.026	253.13	338.10	346.02	0.72861	77.976	0.084778	0.0028012	46.689	0.021419	51.097	53.863	119.13	251.90	302.51	137.82	20.958	11.544	0.033430
490.80	1.3140	466.44	0.0021439	34.344	34.627	79.832	253.63	339.82	340.35	0.76477	77.124	0.084440	0.0027183	47.826	0.020909	51.315	54.067	119.44	252.54	304.80	136.87	21.041	11.617	0.033646
492.00	1.3394	464.19	0.0021543	34.739	35.029	80.639	254.13	341.60	334.66	0.80284	76.272	0.084098	0.0026359	48.997	0.020410	51.531	54.270	119.75	253.19	307.20	135.90	21.131	11.691	0.033863
493.20	1.3653	461.91	0.0021649	35.136	35.432	81.447	254.63	343.46	328.93	0.84296	75.419	0.083752	0.0025540	50.200	0.019920	51.746	54.472	120.05	253.83	309.70	134.91	21.227	11.768	0.034084
494.40	1.3915	459.59	0.0021758	35.534	35.838	82.257	255.14	345.39	323.17	0.88531	74.565	0.083403	0.0024727	51.439	0.019440	51.961	54.671	120.35	254.48	312.32	133.90	21.329	11.846	0.034307
