Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
525.60	2.2262	374.78	0.0026682	46.743	47.338	104.40	270.08	490.92	157.80	4.4635	50.188	0.071586	0.00059005	105.96	0.0094373	56.669	58.774	126.16	272.88	514.82	98.805	26.929	15.369	0.041902
526.80	2.2649	369.57	0.0027058	47.234	47.848	105.35	270.82	510.22	150.72	4.8978	49.021	0.070911	0.00052979	109.73	0.0091130	56.785	58.853	126.24	273.68	540.05	97.082	27.262	15.630	0.042334
528.00	2.3042	364.04	0.0027469	47.734	48.368	106.31	271.59	533.46	143.61	5.3991	47.814	0.070199	0.00047087	113.76	0.0087902	56.891	58.920	126.30	274.50	569.80	95.331	27.596	15.914	0.042789
529.20	2.3441	358.13	0.0027923	48.245	48.901	107.30	272.39	561.93	136.48	5.9820	46.559	0.069445	0.00041339	118.09	0.0084682	56.985	58.975	126.34	275.32	605.36	93.551	27.931	16.222	0.043270
530.40	2.3846	351.78	0.0028427	48.768	49.447	108.31	273.24	597.51	129.34	6.6640	45.251	0.068642	0.00035747	122.75	0.0081464	57.068	59.014	126.35	276.15	648.60	91.741	28.261	16.561	0.043781
531.60	2.4256	344.90	0.0028994	49.307	50.011	109.35	274.12	643.06	122.25	7.4673	43.880	0.067782	0.00030325	127.81	0.0078240	57.136	59.037	126.33	277.00	702.29	89.898	28.583	16.935	0.044328
532.80	2.4672	337.41	0.0029638	49.863	50.596	110.43	275.06	703.01	115.22	8.4192	42.434	0.066855	0.00025090	133.34	0.0074999	57.187	59.041	126.28	277.86	770.77	88.020	28.893	17.352	0.044917
534.00	2.5093	329.16	0.0030381	50.441	51.205	111.54	276.06	784.75	108.32	9.5533	40.902	0.065848	0.00020066	139.42	0.0071727	57.218	59.022	126.18	278.72	861.16	86.102	29.183	17.822	0.045559
535.20	2.5520	319.97	0.0031253	51.047	51.846	112.72	277.13	901.28	101.63	10.910	39.265	0.064743	0.00015283	146.19	0.0068402	57.226	58.975	126.04	279.60	986.24	84.136	29.444	18.360	0.046267
536.40	2.5952	309.61	0.0032298	51.687	52.527	113.96	278.26	1078.0	95.219	12.540	37.502	0.063519	0.00010784	153.86	0.0064993	57.202	58.892	125.83	280.48	1171.3	82.112	29.661	18.987	0.047060
537.60	2.6389	297.71	0.0033590	52.376	53.264	115.31	279.48	1372.9	89.190	14.511	35.581	0.062141	6.6385e-05	162.76	0.0061439	57.136	58.760	125.53	281.36	1475.1	80.016	29.806	19.740	0.047973
538.80	2.6831	283.62	0.0035259	53.135	54.083	116.80	280.77	1956.3	83.620	16.931	33.441	0.060548	2.9717e-05	173.55	0.0057622	57.005	58.554	125.10	282.24	2071.9	77.832	29.815	20.692	0.049072
