# Fuel Properties							
#=======================							
FUEL_NAME							
1,3-dioxolane							
SMILES							
C1COCO1							
CHEMICAL_FORMULA							
C3H6O2							
MOLECULAR_WEIGHT							
8.81E-02							
T_CRIT							
556.263							
P_CRIT							
4.94E+06							
V_CRIT							
0.003285288							
MELTING_POINT							
276.657							
NORMAL_BOILING_POINT							
3.71E+02							
LIQUID							
2.0000000000000000E+02	1.4156683348353300E-02	3.7953190000000000E-02	4.2833340143374100E+05	1.3399000000000000E+01	1.3453490147182100E-01	1.0141465671841100E+03	1.3150304896885100E+03
2.1000000000000000E+02	9.8749487384756100E-03	3.4349210000000000E-02	4.2253238174364300E+05	3.9201000000000000E+01	1.3022931782895700E-01	1.0018796928356800E+03	1.3475760902315000E+03
2.2000000000000000E+02	7.1175215028658500E-03	3.2633680000000000E-02	4.1673590208069400E+05	1.0265400000000000E+02	1.2625245784022100E-01	9.8992270968887200E+02	1.3777402682857800E+03
2.3000000000000000E+02	5.2782319402821800E-03	3.1299250000000000E-02	4.1095985253991800E+05	2.4426700000000000E+02	1.2256592244261200E-01	9.7823147076914900E+02	1.4060350769056500E+03
2.4000000000000000E+02	4.0129909416025800E-03	3.0498670000000000E-02	4.0521558318918800E+05	5.3485000000000000E+02	1.1913722158597400E-01	9.6676011828670800E+02	1.4328817686024400E+03
2.5000000000000000E+02	3.1186706397418700E-03	2.9020700000000000E-02	3.9950649904886400E+05	1.0890900000000000E+03	1.1593866350036500E-01	9.5546971415681800E+02	1.4586562056159700E+03
2.6000000000000000E+02	2.4711199017522300E-03	2.8645390000000000E-02	3.9383487013252300E+05	2.0808400000000000E+03	1.1294648768436400E-01	9.4431951914358200E+02	1.4836774698466800E+03
2.7000000000000000E+02	1.9920728363125400E-03	2.7277980000000000E-02	3.8819502140622800E+05	3.7589400000000000E+03	1.1014018104192700E-01	9.3327429653702600E+02	1.5082306429914200E+03
2.8000000000000000E+02	1.6308030273249100E-03	2.6598880000000000E-02	3.8257787281567900E+05	6.4621000000000000E+03	1.0750193328609800E-01	9.2229519660163200E+02	1.5325553764755300E+03
2.9000000000000000E+02	1.3536025485196700E-03	2.5460010000000000E-02	3.7697093928621700E+05	1.0631700000000000E+04	1.0501619939975100E-01	9.1134982492979100E+02	1.5568345813849800E+03
3.0000000000000000E+02	1.1375613836314000E-03	2.4729160000000000E-02	3.7135606070924300E+05	1.6821600000000000E+04	1.0266934522353500E-01	9.0040255122845100E+02	1.5812624988736200E+03
3.1000000000000000E+02	9.6678641466318900E-04	2.3517790000000000E-02	3.6571621198294800E+05	2.5704100000000000E+04	1.0044935819303100E-01	8.8941966016281200E+02	1.6059879698238000E+03
3.2000000000000000E+02	8.3004474834092500E-04	2.2596650000000000E-02	3.6002642295800900E+05	3.8072700000000000E+04	9.8345609578081500E-02	8.7836420553107500E+02	1.6311485950500100E+03
3.3000000000000000E+02	7.1926073758450700E-04	2.1332440000000000E-02	3.5426172348510600E+05	5.4841100000000000E+04	9.6348657764709800E-02	8.6721130753179200E+02	1.6568477251631000E+03
3.4000000000000000E+02	6.2853709902846600E-04	2.0737840000000000E-02	3.4839714341491800E+05	7.7039300000000000E+04	9.4450084490717100E-02	8.5591381136034700E+02	1.6832115109096900E+03
3.5000000000000000E+02	5.5350494403961300E-04	1.9678430000000000E-02	3.4239976755061000E+05	1.0580800000000000E+05	9.2642357726824900E-02	8.4443720288299300E+02	1.7103662030363700E+03
3.6000000000000000E+02	4.9088445766664200E-04	1.8935740000000000E-02	3.3624008571571300E+05	1.4239300000000000E+05	9.0918716245131400E-02	8.3275236294896000E+02	1.7384039020861400E+03
3.7000000000000000E+02	4.3818303341480200E-04	1.8014560000000000E-02	3.2988291269981800E+05	1.8813500000000000E+05	8.9273071948901400E-02	8.2080491894913400E+02	1.7674507588056100E+03
3.8000000000000000E+02	3.9348467156259100E-04	1.7247590000000000E-02	3.2329192828573100E+05	2.4446100000000000E+05	8.7699926833423500E-02	8.0855679753317600E+02	1.7976556240771300E+03
3.9000000000000000E+02	3.5530095465586200E-04	1.5850460000000000E-02	3.1642740723589500E+05	3.1288400000000000E+05	8.6194302065777200E-02	7.9596350167133400E+02	1.8291673487830500E+03
4.0000000000000000E+02	3.2246419699432600E-04	1.4900660000000000E-02	3.0924735429917900E+05	3.9498900000000000E+05	8.4751677154940300E-02	7.8296942067237200E+02	1.8621688340093400E+03
4.1000000000000000E+02	2.9404988507596800E-04	1.3880350000000000E-02	3.0170182917693800E+05	4.9243000000000000E+05	8.3367937564605500E-02	7.6950461151481300E+02	1.8968998311813600E+03
4.2000000000000000E+02	2.6931972857437300E-04	1.2797940000000000E-02	2.9373975656374400E+05	6.0693100000000000E+05	8.2039329423076100E-02	7.5550905957107500E+02	1.9336226918601900E+03
4.3000000000000000E+02	2.4767939215825300E-04	1.1622700000000000E-02	2.8529871108629200E+05	7.4027900000000000E+05	8.0762420225496800E-02	7.4089659174045800E+02	1.9727245183535100E+03
4.4000000000000000E+02	2.2864680498918900E-04	1.0564360000000000E-02	2.7630945733055500E+05	8.9432800000000000E+05	7.9534064616929500E-02	7.2557564976776400E+02	2.0146607133762800E+03
4.5000000000000000E+02	2.1182817406252100E-04	8.8504270000000000E-03	2.6668913980105600E+05	1.0710000000000000E+06	7.8351374500670600E-02	7.0942733831486700E+02	2.0600908808651500E+03
4.6000000000000000E+02	1.9689966552016600E-04	7.8569530000000000E-03	2.5633674289372200E+05	1.2722900000000000E+06	7.7211692842614800E-02	6.9230805497277300E+02	2.1098563258427400E+03
4.7000000000000000E+02	1.8359329612969700E-04	6.7999410000000000E-03	2.4512741586194700E+05	1.5002800000000000E+06	7.6112570645483600E-02	6.7404063896199300E+02	2.1652067557751400E+03
4.8000000000000000E+02	1.7168598042566500E-04	5.6887760000000000E-03	2.3290452776907600E+05	1.7571400000000000E+06	7.5051746651079500E-02	6.5439069497983500E+02	2.2279368813863400E+03
4.9000000000000000E+02	1.6099096339858000E-04	4.9102630000000000E-03	2.1945810235945200E+05	2.0451700000000000E+06	7.4027129398105700E-02	6.3305335009879600E+02	2.3007947191017100E+03
5.0000000000000000E+02	1.5135107118846900E-04	3.7393960000000000E-03	2.0450098291587800E+05	2.3667900000000000E+06	7.3036781320394400E-02	6.0959800733411700E+02	2.3882421455954900E+03
5.1000000000000000E+02	1.4263335791820200E-04	2.9880660000000000E-03	1.8761435193382500E+05	2.7246100000000000E+06	7.2078904617926400E-02	5.8339701101171400E+02	2.4980439072931000E+03
5.2000000000000000E+02	1.3472483251993600E-04	2.0705100000000000E-03	1.6814331049699700E+05	3.1214400000000000E+06	7.1151828672611000E-02	5.5346634168404600E+02	2.6453083445340300E+03
5.3000000000000000E+02	1.2752902679100800E-04	1.2810110000000000E-03	1.4494490677054200E+05	3.5604000000000000E+06	7.0253998813888200E-02	5.1810130899596600E+02	2.8643026122281100E+03
5.4000000000000000E+02	1.2096322302387300E-04	7.1626440000000000E-04	1.1563222148068400E+05	4.0450100000000000E+06	6.9383966266977900E-02	4.7376792656761700E+02	3.2569971201500000E+03
5.5000000000000000E+02	1.1495620203028900E-04	3.1737540000000000E-04	7.2828051011745000E+04	4.5793300000000000E+06	6.8540379139980200E-02	4.0974779442199200E+02	4.3761866740060800E+03
5.5626300000000000E+02	1.1145077900931400E-04	0.0000000000000000E+00	0.0000000000000000E+00	4.9414500000000000E+06	6.8024941923250400E-02	3.0438727107524200E+02	5.5614124242428400E+03
VAPOR							
2.0000000000000000E+02	3.8612691000000000E-06	3.7377933000000000E-03	-9.9990000000000000E+03	7.3481502000000000E+02	-9.9990000000000000E+03		
2.1000000000000000E+02	4.0540732000000000E-06	4.0016918000000000E-03	-9.9990000000000000E+03	7.6726982000000000E+02	-9.9990000000000000E+03		
2.2000000000000000E+02	4.2489345000000000E-06	4.3057613000000000E-03	-9.9990000000000000E+03	7.9943161000000000E+02	-9.9990000000000000E+03		
2.3000000000000000E+02	4.4454854000000000E-06	4.6464461000000000E-03	-9.9990000000000000E+03	8.3130169000000000E+02	-9.9990000000000000E+03		
2.4000000000000000E+02	4.6434079000000000E-06	5.0205880000000000E-03	-9.9990000000000000E+03	8.6288136000000000E+02	-9.9990000000000000E+03		
2.5000000000000000E+02	4.8424261000000000E-06	5.4253699000000000E-03	-9.9990000000000000E+03	8.9417193000000000E+02	-9.9990000000000000E+03		
2.6000000000000000E+02	5.0422991000000000E-06	5.8582694000000000E-03	-9.9990000000000000E+03	9.2517468000000000E+02	-9.9990000000000000E+03		
2.7000000000000000E+02	5.2428161000000000E-06	6.3170195000000000E-03	-9.9990000000000000E+03	9.5589094000000000E+02	-9.9990000000000000E+03		
2.8000000000000000E+02	5.4437918000000000E-06	6.7995762000000000E-03	-9.9990000000000000E+03	9.8632201000000000E+02	-9.9990000000000000E+03		
