   0.0000000e+00             NaN             NaN
   1.0000000e-01             NaN             NaN
   2.0000000e-01   3.2646048e+00   9.2285797e-01
   3.0000000e-01   6.8762886e+00   1.1322874e+00
   4.0000000e-01   8.6529209e+00   3.2151589e-01
   5.0000000e-01   9.0824742e+00   4.7158775e-01
   6.0000000e-01   9.2542955e+00   5.0321245e-01
   7.0000000e-01   9.7525773e+00   4.8490857e-01
   8.0000000e-01   9.9072164e+00   5.5130702e-01
   9.0000000e-01   1.0436426e+01   3.1239760e-01
   1.0000000e+00   1.0512027e+01   3.9605698e-01
   1.1000000e+00   1.0749141e+01   4.0593029e-01
   1.2000000e+00   1.0852234e+01   4.6287471e-01
   1.3000000e+00   1.0862543e+01   4.6692553e-01
   1.4000000e+00   1.0927835e+01   3.5955214e-01
   1.5000000e+00   1.1075601e+01   4.1313909e-01
   1.6000000e+00   1.1106529e+01   3.1329162e-01
   1.7000000e+00   1.1213058e+01   4.2558850e-01
   1.8000000e+00   1.1175258e+01   3.6599403e-01
   1.9000000e+00   1.1120275e+01   5.7355220e-01
   2.0000000e+00   1.0807560e+01   2.7480102e-01
   2.1000000e+00   1.0625430e+01   3.2112904e-01
   2.2000000e+00   1.0649484e+01   4.3949783e-01
   2.3000000e+00   1.0756014e+01   5.5095742e-01
   2.4000000e+00   1.0594502e+01   5.6158306e-01
   2.5000000e+00   1.0690722e+01   6.0018744e-01
   2.6000000e+00   1.0776632e+01   5.7958885e-01
   2.7000000e+00   1.0852234e+01   4.0254773e-01
   2.8000000e+00   1.0852234e+01   4.5255472e-01
   2.9000000e+00   1.0838488e+01   4.3473453e-01
   3.0000000e+00   1.0941581e+01   4.4126201e-01
   3.1000000e+00   1.0319588e+01   5.9218097e-01
   3.2000000e+00   7.4364261e+00   2.8555971e+00
   3.3000000e+00   3.0927835e+00   0.0000000e+00
   3.4000000e+00             NaN             NaN
   3.5000000e+00             NaN             NaN
   3.6000000e+00             NaN             NaN
   3.7000000e+00             NaN             NaN
   3.8000000e+00             NaN             NaN
   3.9000000e+00             NaN             NaN
   4.0000000e+00             NaN             NaN
   4.1000000e+00             NaN             NaN
   4.2000000e+00             NaN             NaN
   4.3000000e+00             NaN             NaN
   4.4000000e+00             NaN             NaN
   4.5000000e+00             NaN             NaN
   4.6000000e+00             NaN             NaN
   4.7000000e+00             NaN             NaN
   4.8000000e+00             NaN             NaN
   4.9000000e+00             NaN             NaN
