   0.0000000e+00             NaN             NaN
   1.0000000e-01             NaN             NaN
   2.0000000e-01   9.7680074e-01   1.6084378e+00
   3.0000000e-01   7.0796443e+00   1.5396789e+00
   4.0000000e-01   1.2516880e+01   1.0454677e+00
   5.0000000e-01   1.7193422e+01   9.9310961e-01
   6.0000000e-01   2.1074692e+01   1.0581804e+00
   7.0000000e-01   2.4428663e+01   1.0540096e+00
   8.0000000e-01   2.7886364e+01   1.0221866e+00
   9.0000000e-01   3.0427775e+01   1.1105516e+00
   1.0000000e+00   3.2441886e+01   1.3383102e+00
   1.1000000e+00   3.4637527e+01   1.3992229e+00
   1.2000000e+00   3.7040630e+01   1.4210880e+00
   1.3000000e+00   3.9556108e+01   1.5590968e+00
   1.4000000e+00   4.2132095e+01   1.4702991e+00
   1.5000000e+00   4.4759949e+01   1.7531569e+00
   1.6000000e+00   4.7154407e+01   1.5764308e+00
   1.7000000e+00   4.9427846e+01   1.4636505e+00
   1.8000000e+00   5.1727218e+01   1.7654072e+00
   1.9000000e+00   5.4355071e+01   1.8377081e+00
   2.0000000e+00   5.5815950e+01   1.7181489e+00
   2.1000000e+00   5.7855994e+01   1.9351712e+00
   2.2000000e+00   6.0466559e+01   1.6419293e+00
   2.3000000e+00   6.1322340e+01   1.4012732e+00
   2.4000000e+00   6.3154922e+01   1.7879853e+00
   2.5000000e+00   6.5013437e+01   1.4877161e+00
   2.6000000e+00   6.5972949e+01   1.8925317e+00
   2.7000000e+00   6.7796886e+01   1.6876640e+00
   2.8000000e+00   6.9275054e+01   1.9632766e+00
   2.9000000e+00   7.0805087e+01   2.4555417e+00
   3.0000000e+00   7.2179523e+01   2.1021156e+00
   3.1000000e+00   7.3432940e+01   1.7486421e+00
   3.2000000e+00   7.4029394e+01   1.5841208e+00
   3.3000000e+00   7.5265522e+01   1.6783169e+00
   3.4000000e+00   7.5939774e+01   1.4923614e+00
   3.5000000e+00   7.6493006e+01   1.4469769e+00
   3.6000000e+00   7.6423852e+01   1.4448009e+00
   3.7000000e+00   7.5853331e+01   2.0669293e+00
   3.8000000e+00   7.6294188e+01   1.9792372e+00
   3.9000000e+00   7.5576715e+01   2.1602627e+00
   4.0000000e+00   7.5317388e+01   2.4290039e+00
   4.1000000e+00   7.5472984e+01   2.3279422e+00
   4.2000000e+00   7.5205012e+01   2.1520365e+00
   4.3000000e+00   7.4859242e+01   2.0964955e+00
   4.4000000e+00   7.4876531e+01   2.2976230e+00
   4.5000000e+00   7.4643136e+01   1.9662991e+00
   4.6000000e+00   7.4150413e+01   2.0896561e+00
   4.7000000e+00   7.3407008e+01   2.2319839e+00
   4.8000000e+00   7.4029394e+01   1.9764534e+00
   4.9000000e+00   7.3951596e+01   1.8669862e+00
   5.0000000e+00   7.4461607e+01   1.7897441e+00
   5.1000000e+00   7.4548049e+01   1.5791477e+00
   5.2000000e+00   7.4591270e+01   1.6463307e+00
   5.3000000e+00   7.5075349e+01   2.1387463e+00
   5.4000000e+00   7.4720934e+01   2.0598581e+00
   5.5000000e+00   7.4669069e+01   1.9340531e+00
   5.6000000e+00   7.4496184e+01   1.3413922e+00
   5.7000000e+00   7.4772800e+01   1.7383788e+00
   5.8000000e+00   7.5049416e+01   1.4668714e+00
   5.9000000e+00   7.4608559e+01   1.5549291e+00
