#!CONVERGE_VERSION=2.4
#=======================


#DIESEL2
#!              PowerIdx  ConsistentIdx  YieldStress(N/m2)  SolidViscosity(m2/s)
#NON_NEWTONIAN        1             1           1                    1
#!              RefPressure[Pa]  RefDensity[kg/m3]  BulkModulus[Pa]
#Compressible          101325               848         1.9e+09
#!              CriticalTemp[K]
#Critical_temp             736
#!Temperature  Viscosity   Surf tension Heat of Vapo  Vapor pres  Conductivity   Density    Specific heat
#!    [K]      [N*s/m^2]      [N/m]        [J/kg]        [Pa]       [W/(m*K)]    [kg/m^3]     [J/(kg*K)]
1.000000e+01 4.700000e-03 3.001000e-02 3.787000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
2.000000e+01 4.700000e-03 3.001000e-02 3.774000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
3.000000e+01 4.700000e-03 3.001000e-02 3.761000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
4.000000e+01 4.700000e-03 3.001000e-02 3.748000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
5.000000e+01 4.700000e-03 3.001000e-02 3.735000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
6.000000e+01 4.700000e-03 3.001000e-02 3.722000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
7.000000e+01 4.700000e-03 3.001000e-02 3.709000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
8.000000e+01 4.700000e-03 3.001000e-02 3.696000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
9.000000e+01 4.700000e-03 3.001000e-02 3.683000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
1.000000e+02 4.700000e-03 3.001000e-02 3.670000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
1.100000e+02 4.700000e-03 3.001000e-02 3.653000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
1.200000e+02 4.700000e-03 3.001000e-02 3.636000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
1.300000e+02 4.700000e-03 3.001000e-02 3.619000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
1.400000e+02 4.700000e-03 3.001000e-02 3.602000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
1.500000e+02 4.700000e-03 3.001000e-02 3.585000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
1.600000e+02 4.700000e-03 3.001000e-02 3.568000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
1.700000e+02 4.700000e-03 3.001000e-02 3.551000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
1.800000e+02 4.700000e-03 3.001000e-02 3.534000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
1.900000e+02 4.700000e-03 3.001000e-02 3.517000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
2.000000e+02 4.700000e-03 3.001000e-02 3.500000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
2.100000e+02 4.700000e-03 3.001000e-02 3.475000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
2.200000e+02 4.700000e-03 3.001000e-02 3.450000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
2.300000e+02 4.700000e-03 3.001000e-02 3.425000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
2.400000e+02 4.700000e-03 3.001000e-02 3.400000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
2.500000e+02 4.700000e-03 3.001000e-02 3.375000e+05 0.000000e+00 1.215000e-01 8.480000e+02 2.167515e+03 
2.600000e+02 4.700000e-03 3.001000e-02 3.350000e+05 0.000000e+00 1.207100e-01 8.480000e+02 2.167515e+03 
2.700000e+02 4.700000e-03 3.001000e-02 3.325000e+05 0.000000e+00 1.195600e-01 8.480000e+02 2.167515e+03 
2.800000e+02 4.700000e-03 3.001000e-02 3.300000e+05 0.000000e+00 1.184100e-01 8.480000e+02 2.167515e+03 
2.900000e+02 3.450000e-03 2.935000e-02 3.275000e+05 0.000000e+00 1.172600e-01 8.480000e+02 2.190356e+03 
3.000000e+02 2.700000e-03 2.869000e-02 3.250000e+05 0.000000e+00 1.161100e-01 8.480000e+02 2.212360e+03 
3.100000e+02 2.200000e-03 2.804000e-02 3.219700e+05 0.000000e+00 1.149600e-01 8.480000e+02 2.233681e+03 
3.200000e+02 1.800000e-03 2.738000e-02 3.189400e+05 0.000000e+00 1.137800e-01 8.480000e+02 2.254472e+03 
