# Fuel Properties							
#=======================							
FUEL_NAME							
dimethoxymethane							
SMILES							
COCOC							
CHEMICAL_FORMULA							
C3H8O2							
MOLECULAR_WEIGHT							
7.61E-02							
T_CRIT							
447.231							
P_CRIT							
4.18E+06							
V_CRIT							
0.003591824							
MELTING_POINT							
220.186							
NORMAL_BOILING_POINT							
2.96E+02							
LIQUID							
# Temperature liqViscosity SurfaceTension HeatOfVap vapPressure liqThermalConductivity liqDensity liqHeatCapacity							
2.0000000000000000E+02	8.3046235874625400E-04	2.2473430000000000E-02	4.0296238083848700E+05	5.1357200000000000E+02	2.1249095584494800E-01	8.7715039261523700E+02	1.8663967339305800E+03
2.1000000000000000E+02	6.8039470656997800E-04	2.1796980000000000E-02	3.9499331092251400E+05	1.2260000000000000E+03	2.0569050797801000E-01	8.6439347554693200E+02	1.8884472352021600E+03
2.2000000000000000E+02	5.6763726934887000E-04	2.1177720000000000E-02	3.8710571896412600E+05	2.6633900000000000E+03	1.9940926221186900E-01	8.5178008742325300E+02	1.9092903087160400E+03
2.3000000000000000E+02	4.8108685321157600E-04	2.0398430000000000E-02	3.7928909167847200E+05	5.3365300000000000E+03	1.9358656920192100E-01	8.3925266629167600E+02	1.9296908340480600E+03
2.4000000000000000E+02	4.1339323015107400E-04	2.0186570000000000E-02	3.7152503081706600E+05	9.9728000000000000E+03	1.8817111258536500E-01	8.2675320893787200E+02	1.9502377082892000E+03
2.5000000000000000E+02	3.5956055469948400E-04	1.9068010000000000E-02	3.6378068236475300E+05	1.7546200000000000E+04	1.8311915463615500E-01	8.1422487587741800E+02	1.9714211956819300E+03
2.6000000000000000E+02	3.1611244504358300E-04	1.8144860000000000E-02	3.5601924982456000E+05	2.9294900000000000E+04	1.7839316686463700E-01	8.0160839551275800E+02	1.9936314276202400E+03
2.7000000000000000E+02	2.8057834051483300E-04	1.7595280000000000E-02	3.4819079509345000E+05	4.6726600000000000E+04	1.7396074989088700E-01	7.8884584404127200E+02	2.0171706442556700E+03
2.8000000000000000E+02	2.5116885990523600E-04	1.6775530000000000E-02	3.4024538006838900E+05	7.1611700000000000E+04	1.6979377328289200E-01	7.7587448024683000E+02	2.0423311441337200E+03
2.9000000000000000E+02	2.2656555487841800E-04	1.6215640000000000E-02	3.3212386752209800E+05	1.0596900000000000E+05	1.6586768448580300E-01	7.6262740656851600E+02	2.0693947841938000E+03
3.0000000000000000E+02	2.0578170814717900E-04	1.5115900000000000E-02	3.2375923526366000E+05	1.5204600000000000E+05	1.6216094904632200E-01	7.4903238507727100E+02	2.0986061965571600E+03
3.1000000000000000E+02	1.8806829818345100E-04	1.4062740000000000E-02	3.1508446110216000E+05	2.1229800000000000E+05	1.5865459373692200E-01	7.3501791803104500E+02	2.1302778213753500E+03
3.2000000000000000E+02	1.7284929789402900E-04	1.3298930000000000E-02	3.0601806708001400E+05	2.8936400000000000E+05	1.5533183102510800E-01	7.2048667329451300E+02	2.1647498820120300E+03
3.3000000000000000E+02	1.5967640061783400E-04	1.2113360000000000E-02	2.9647331859721200E+05	3.8605700000000000E+05	1.5217774836731900E-01	7.0533350635868200E+02	2.2024427514672600E+03
3.4000000000000000E+02	1.4819684560974200E-04	1.0957860000000000E-02	2.8635033944768500E+05	5.0534300000000000E+05	1.4917904955148200E-01	6.8945265427792200E+02	2.2439227604077600E+03
3.5000000000000000E+02	1.3813022369120000E-04	9.6894390000000000E-03	2.7553085517687300E+05	6.5034200000000000E+05	1.4632383812482900E-01	6.7267969696166100E+02	2.2899019971669300E+03
3.6000000000000000E+02	1.2925153405288500E-04	7.9558280000000000E-03	2.6387162227870200E+05	8.2432900000000000E+05	1.4360143507571500E-01	6.5483851535674600E+02	2.3414215902297400E+03
3.7000000000000000E+02	1.2137865468569200E-04	6.9288140000000000E-03	2.5119785739254800E+05	1.0307400000000000E+06	1.4100222456854500E-01	6.3569698083574200E+02	2.3999314578690600E+03
3.8000000000000000E+02	1.1436297040342400E-04	6.1078490000000000E-03	2.3727695409111300E+05	1.2732200000000000E+06	1.3851752278771600E-01	6.1493741060100400E+02	2.4675915650851200E+03
3.9000000000000000E+02	1.0808228777300200E-04	4.6844140000000000E-03	2.2180008463194300E+05	1.5556100000000000E+06	1.3613946592276200E-01	5.9213129041545700E+02	2.5477060966055200E+03
4.0000000000000000E+02	1.0243542544829600E-04	3.7263040000000000E-03	2.0431780608771800E+05	1.8820800000000000E+06	1.3386091409066600E-01	5.6664085188770600E+02	2.6456956357338700E+03
4.1000000000000000E+02	9.7338045149103500E-05	2.7014710000000000E-03	1.8413492749775900E+05	2.2571700000000000E+06	1.3167536859299900E-01	5.3748331273176800E+02	2.7710948884711300E+03
4.2000000000000000E+02	9.2719410625820400E-05	1.6843090000000000E-03	1.6005556271043000E+05	2.6859600000000000E+06	1.2957690038253200E-01	5.0293921308138200E+02	2.9423487697283100E+03
4.3000000000000000E+02	8.8519847328370000E-05	9.4864720000000000E-04	1.2963208759668900E+05	3.1743400000000000E+06	1.2756008799442700E-01	4.5951158830420600E+02	3.2009401298430100E+03
4.4000000000000000E+02	8.4688735883128400E-05	4.3165830000000000E-04	8.5719410940649900E+04	3.7294400000000000E+06	1.2561996350237000E-01	3.9712855733752200E+02	3.6645475511000800E+03
