#"bin_extents"	"bin_values"
8.1486164837940583e-08	239
1.4293148016264466e-07	460
2.0437679548734877e-07	572
2.6582211081205283e-07	553
3.2726742613675694e-07	625
3.8871274146146104e-07	699
4.5015805678616510e-07	768
5.1160337211086915e-07	768
5.7304868743557331e-07	787
6.3449400276027737e-07	756
6.9593931808498153e-07	731
7.5738463340968558e-07	687
8.1882994873438964e-07	713
8.8027526405909380e-07	738
9.4172057938379786e-07	719
1.0031658947085021e-06	710
1.0646112100332062e-06	699
1.1260565253579102e-06	691
1.1875018406826143e-06	618
1.2489471560073186e-06	556
1.3103924713320226e-06	493
1.3718377866567267e-06	460
1.4332831019814307e-06	376
1.4947284173061348e-06	319
1.5561737326308388e-06	305
1.6176190479555431e-06	258
1.6790643632802471e-06	198
1.7405096786049512e-06	188
1.8019549939296553e-06	136
1.8634003092543593e-06	113
1.9248456245790636e-06	103
1.9862909399037678e-06	94
2.0477362552284717e-06	82
2.1091815705531760e-06	54
2.1706268858778798e-06	40
2.2320722012025841e-06	41
2.2935175165272879e-06	24
2.3549628318519922e-06	22
2.4164081471766964e-06	14
2.4778534625014003e-06	13
2.5392987778261046e-06	11
2.6007440931508084e-06	10
2.6621894084755127e-06	6
2.7236347238002169e-06	5
2.7850800391249208e-06	1
2.8465253544496250e-06	0
2.9079706697743289e-06	0
2.9694159850990332e-06	0
3.0308613004237370e-06	0
3.0923066157484413e-06	2
