#"bin_extents"	"bin_values"
1.4009261039523343e-06	393661
4.1027356070699740e-06	210
6.8045451101876138e-06	0
9.5063546133052526e-06	0
1.2208164116422894e-05	0
1.4909973619540532e-05	0
1.7611783122658173e-05	0
2.0313592625775811e-05	0
2.3015402128893453e-05	0
2.5717211632011094e-05	0
2.8419021135128732e-05	0
3.1120830638246370e-05	0
3.3822640141364012e-05	0
3.6524449644481653e-05	0
3.9226259147599288e-05	0
4.1928068650716929e-05	0
4.4629878153834571e-05	0
4.7331687656952212e-05	0
5.0033497160069853e-05	0
5.2735306663187488e-05	0
5.5437116166305129e-05	0
5.8138925669422771e-05	0
6.0840735172540406e-05	0
6.3542544675658047e-05	0
6.6244354178775688e-05	0
6.8946163681893330e-05	0
7.1647973185010971e-05	0
7.4349782688128613e-05	0
7.7051592191246240e-05	0
7.9753401694363882e-05	18
