#"bin_extents"	"bin_values"
8.0948322782603553e-08	100
1.4250294032791545e-07	156
2.0405755787322730e-07	239
2.6561217541853921e-07	278
3.2716679296385107e-07	293
3.8872141050916292e-07	332
4.5027602805447483e-07	381
5.1183064559978679e-07	374
5.7338526314509865e-07	364
6.3493988069041050e-07	341
6.9649449823572236e-07	321
7.5804911578103432e-07	322
8.1960373332634617e-07	280
8.8115835087165803e-07	283
9.4271296841696999e-07	263
1.0042675859622818e-06	236
1.0658222035075936e-06	202
1.1273768210529056e-06	197
1.1889314385982173e-06	180
1.2504860561435293e-06	171
1.3120406736888410e-06	133
1.3735952912341530e-06	128
1.4351499087794649e-06	87
1.4967045263247767e-06	86
1.5582591438700886e-06	93
1.6198137614154006e-06	84
1.6813683789607124e-06	56
1.7429229965060243e-06	40
1.8044776140513363e-06	51
1.8660322315966480e-06	35
1.9275868491419602e-06	31
1.9891414666872720e-06	32
2.0506960842325837e-06	25
2.1122507017778955e-06	22
2.1738053193232076e-06	24
2.2353599368685194e-06	13
2.2969145544138311e-06	7
2.3584691719591433e-06	6
2.4200237895044550e-06	8
2.4815784070497668e-06	4
2.5431330245950785e-06	6
2.6046876421403907e-06	4
2.6662422596857025e-06	3
2.7277968772310142e-06	2
2.7893514947763264e-06	1
2.8509061123216381e-06	0
2.9124607298669499e-06	1
2.9740153474122621e-06	0
3.0355699649575738e-06	1
3.0971245825028856e-06	1
