#"bin_extents"	"bin_values"
8.0326348417258944e-08	147
1.3986276723443324e-07	227
1.9939918605160756e-07	294
2.5893560486878184e-07	367
3.1847202368595618e-07	411
3.7800844250313047e-07	442
4.3754486132030476e-07	515
4.9708128013747910e-07	509
5.5661769895465349e-07	546
6.1615411777182778e-07	514
6.7569053658900206e-07	486
7.3522695540617635e-07	505
7.9476337422335064e-07	477
8.5429979304052493e-07	407
9.1383621185769932e-07	428
9.7337263067487360e-07	395
1.0329090494920480e-06	362
1.0924454683092222e-06	352
1.1519818871263966e-06	303
1.2115183059435708e-06	307
1.2710547247607451e-06	262
1.3305911435779193e-06	241
1.3901275623950937e-06	215
1.4496639812122681e-06	171
1.5092004000294423e-06	156
1.5687368188466167e-06	124
1.6282732376637909e-06	120
1.6878096564809653e-06	115
1.7473460752981397e-06	87
1.8068824941153138e-06	82
1.8664189129324882e-06	77
1.9259553317496624e-06	49
1.9854917505668368e-06	44
2.0450281693840108e-06	39
2.1045645882011852e-06	34
2.1641010070183596e-06	39
2.2236374258355339e-06	35
2.2831738446527079e-06	20
2.3427102634698823e-06	15
2.4022466822870567e-06	6
2.4617831011042311e-06	13
2.5213195199214055e-06	5
2.5808559387385795e-06	7
2.6403923575557538e-06	4
2.6999287763729282e-06	2
2.7594651951901026e-06	1
2.8190016140072770e-06	3
2.8785380328244510e-06	1
2.9380744516416254e-06	0
2.9976108704587998e-06	1
