   0.0000000000000000e+00	   0.0000000000000000e+00	
   2.0000000000000002e-07	   9.5837009290400000e-06	
   4.0000000000000003e-07	   1.9166299929999998e-05	
   5.9999999999999997e-07	   2.8747808724099997e-05	
   8.0000000000000007e-07	   3.8328239058499995e-05	
   9.9999999999999995e-07	   4.7907602706200005e-05	
   1.1999999999999999e-06	   5.7485911465399998e-05	
   1.3999999999999999e-06	   6.7063177159100003e-05	
   1.6000000000000001e-06	   7.6639411635299993e-05	
   1.7999999999999999e-06	   8.6214626765900002e-05	
   1.9999999999999999e-06	   9.5788834446900004e-05	
   2.2000000000000001e-06	   1.0536204659799999e-04	
   2.3999999999999999e-06	   1.1493427516099999e-04	
   2.6000000000000001e-06	   1.2450553210300000e-04	
   2.7999999999999999e-06	   1.3407582941100000e-04	
   3.0000000000000001e-06	   1.4364517909599999e-04	
   3.2000000000000003e-06	   1.5321359318900001e-04	
   3.4000000000000001e-06	   1.6278108374399999e-04	
   3.5999999999999998e-06	   1.7234766283499999e-04	
   3.8000000000000000e-06	   1.8191334255800002e-04	
   3.9999999999999998e-06	   1.9147813502900000e-04	
   4.1999999999999996e-06	   2.0104205238300000e-04	
   4.4000000000000002e-06	   2.1060510677500000e-04	
   4.6000000000000000e-06	   2.2016731037900002e-04	
   4.7999999999999998e-06	   2.2972867539000001e-04	
   5.0000000000000004e-06	   2.3928921402000000e-04	
   5.2000000000000002e-06	   2.4884893849799999e-04	
   5.4000000000000008e-06	   2.5840786107300001e-04	
   5.5999999999999997e-06	   2.6796599401100003e-04	
   5.7999999999999995e-06	   2.7752334959400002e-04	
   6.0000000000000002e-06	   2.8707994012200003e-04	
   6.1999999999999999e-06	   2.9663577791000004e-04	
   6.4000000000000006e-06	   3.0619087529099997e-04	
   6.6000000000000003e-06	   3.1574524461200001e-04	
   6.8000000000000001e-06	   3.2529889823600003e-04	
   6.9999999999999999e-06	   3.3485184854200001e-04	
   7.1999999999999997e-06	   3.4440410792100002e-04	
   7.4000000000000003e-06	   3.5395568878099999e-04	
   7.6000000000000001e-06	   3.6350660354100004e-04	
   7.7999999999999999e-06	   3.7305686463600003e-04	
   7.9999999999999996e-06	   3.8260648451300000e-04	
   8.2000000000000011e-06	   3.9215547563199997e-04	
   8.3999999999999992e-06	   4.0170385046599998e-04	
   8.6000000000000007e-06	   4.1125162149700003e-04	
   8.8000000000000004e-06	   4.2079880122300001e-04	
   9.0000000000000002e-06	   4.3034540215100000e-04	
   9.2000000000000000e-06	   4.3989143679800004e-04	
   9.3999999999999998e-06	   4.4943691769400000e-04	
   9.5999999999999996e-06	   4.5898185737699998e-04	
   9.7999999999999993e-06	   4.6852626839600001e-04	
   1.0000000000000001e-05	   4.7807016330899999e-04	
   1.0200000000000001e-05	   4.8761355468300002e-04	
   1.0400000000000000e-05	   4.9715645509400004e-04	
   1.0600000000000000e-05	   5.0669887712600007e-04	
   1.0800000000000002e-05	   5.1624083337099998e-04	
   1.1000000000000000e-05	   5.2578233642799996e-04	
   1.1199999999999999e-05	   5.3532339890600001e-04	
   1.1400000000000001e-05	   5.4486403341700001e-04	
   1.1599999999999999e-05	   5.5440425258100005e-04	
   1.1800000000000001e-05	   5.6394406902500005e-04	
   1.2000000000000000e-05	   5.7348349538099996e-04	
   1.2200000000000002e-05	   5.8302254428599994e-04	
   1.2400000000000000e-05	   5.9256122838299992e-04	
   1.2600000000000000e-05	   6.0209956031800004e-04	
   1.2800000000000001e-05	   6.1163755274200001e-04	
   1.2999999999999999e-05	   6.2117521831099999e-04	
   1.3200000000000001e-05	   6.3071256968199999e-04	
   1.3400000000000000e-05	   6.4024961951800001e-04	
   1.3600000000000000e-05	   6.4978638048299999e-04	
   1.3800000000000000e-05	   6.5932286524300002e-04	
   1.4000000000000000e-05	   6.6885908646699996e-04	
   1.4200000000000001e-05	   6.7839505682500004e-04	
   1.4399999999999999e-05	   6.8793078898900001e-04	
   1.4600000000000001e-05	   6.9746629563199999e-04	
   1.4800000000000001e-05	   7.0700158942500009e-04	
   1.5000000000000000e-05	   7.1653668304200006e-04	
   1.5200000000000000e-05	   7.2607158915600004e-04	
   1.5400000000000002e-05	   7.3560632043899996e-04	
   1.5600000000000000e-05	   7.4514088956099999e-04	
   1.5800000000000001e-05	   7.5467530919200003e-04	
   1.5999999999999999e-05	   7.6420959200200001e-04	
   1.6200000000000001e-05	   7.7374375065400003e-04	
   1.6400000000000002e-05	   7.8327779781200003e-04	
   1.6600000000000000e-05	   7.9281174613800005e-04	
   1.6799999999999998e-05	   8.0234560828799993e-04	
   1.7000000000000003e-05	   8.1187939691500005e-04	
   1.7200000000000001e-05	   8.2141312466899995e-04	
   1.7399999999999999e-05	   8.3094680419500003e-04	
   1.7600000000000001e-05	   8.4048044813400007e-04	
   1.7799999999999999e-05	   8.5001406912100000e-04	
   1.8000000000000000e-05	   8.5954767978600006e-04	
   1.8200000000000002e-05	   8.6908129275200001e-04	
   1.8400000000000000e-05	   8.7861492063799997e-04	
   1.8599999999999998e-05	   8.8814857605300007e-04	
   1.8800000000000000e-05	   8.9768227160400005e-04	
   1.9000000000000001e-05	   9.0721601988499997e-04	
   1.9199999999999999e-05	   9.1674983348600007e-04	
   1.9400000000000001e-05	   9.2628372498900001e-04	
   1.9599999999999999e-05	   9.3581770696400007e-04	
   1.9800000000000004e-05	   9.4535179197600006e-04	
   2.0000000000000002e-05	   9.5488599258000001e-04	
   2.0200000000000000e-05	   9.6442032131900007e-04	
   2.0400000000000001e-05	   9.7395479072900004e-04	
   2.0599999999999999e-05	   9.8348941333299992e-04	
   2.0800000000000001e-05	   9.9302420164600015e-04	
   2.1000000000000002e-05	   1.0025591681699999e-03	
   2.1200000000000000e-05	   1.0120943254000002e-03	
   2.1399999999999998e-05	   1.0216296858000001e-03	
   2.1600000000000003e-05	   1.0311652618599999e-03	
   2.1800000000000001e-05	   1.0407010660200000e-03	
   2.1999999999999999e-05	   1.0502371107199999e-03	
   2.2200000000000001e-05	   1.0597734084000000e-03	
   2.2399999999999999e-05	   1.0693099714600002e-03	
   2.2600000000000000e-05	   1.0788468123099999e-03	
   2.2800000000000002e-05	   1.0883839433399999e-03	
   2.3000000000000000e-05	   1.0979213769100001e-03	
   2.3199999999999998e-05	   1.1074591253799999e-03	
   2.3400000000000000e-05	   1.1169972010999999e-03	
   2.3600000000000001e-05	   1.1265356163800001e-03	
   2.3800000000000003e-05	   1.1360743835400000e-03	
   2.4000000000000001e-05	   1.1456135148600001e-03	
   2.4199999999999999e-05	   1.1551530226300000e-03	
   2.4400000000000004e-05	   1.1646929190900000e-03	
   2.4600000000000002e-05	   1.1742332165000000e-03	
   2.4800000000000000e-05	   1.1837739270700001e-03	
   2.5000000000000001e-05	   1.1933150630000001e-03	
   2.5199999999999999e-05	   1.2028566364800000e-03	
   2.5400000000000001e-05	   1.2123986596800000e-03	
   2.5600000000000002e-05	   1.2219411447400000e-03	
   2.5800000000000000e-05	   1.2314841037799999e-03	
   2.5999999999999998e-05	   1.2410275489099999e-03	
   2.6200000000000003e-05	   1.2505714922200000e-03	
   2.6400000000000001e-05	   1.2601159457700001e-03	
   2.6599999999999999e-05	   1.2696609216100001e-03	
   2.6800000000000001e-05	   1.2792064317500001e-03	
   2.6999999999999999e-05	   1.2887524881900001e-03	
   2.7200000000000000e-05	   1.2982991029099999e-03	
   2.7400000000000002e-05	   1.3078462878599998e-03	
   2.7600000000000000e-05	   1.3173940549800001e-03	
   2.7799999999999998e-05	   1.3269424161700002e-03	
   2.8000000000000000e-05	   1.3364913833100000e-03	
   2.8200000000000001e-05	   1.3460409682600001e-03	
   2.8400000000000003e-05	   1.3555911828600001e-03	
   2.8600000000000001e-05	   1.3651420389200000e-03	
   2.8799999999999999e-05	   1.3746935482200000e-03	
   2.9000000000000004e-05	   1.3842457225100001e-03	
   2.9200000000000002e-05	   1.3937985735400001e-03	
   2.9400000000000000e-05	   1.4033521130000001e-03	
   2.9600000000000001e-05	   1.4129063525800001e-03	
   2.9799999999999999e-05	   1.4224613039300000e-03	
   3.0000000000000001e-05	   1.4320169786700002e-03	
   3.0200000000000002e-05	   1.4415733883999999e-03	
   3.0400000000000000e-05	   1.4511305447000001e-03	
   3.0599999999999998e-05	   1.4606884590900001e-03	
   3.0800000000000003e-05	   1.4702471431000000e-03	
   3.1000000000000001e-05	   1.4798066082000001e-03	
   3.1199999999999999e-05	   1.4893668658500002e-03	
   3.1399999999999998e-05	   1.4989279274700000e-03	
   3.1600000000000002e-05	   1.5084898044599999e-03	
   3.1800000000000000e-05	   1.5180525081700000e-03	
   3.1999999999999999e-05	   1.5276160499500000e-03	
   3.2200000000000003e-05	   1.5371804410800002e-03	
   3.2400000000000001e-05	   1.5467456928500000e-03	
   3.2600000000000000e-05	   1.5563118164700000e-03	
   3.2800000000000004e-05	   1.5658788231700000e-03	
   3.3000000000000003e-05	   1.5754310405400001e-03	
   3.3200000000000001e-05	   1.5849767014000000e-03	
   3.3399999999999999e-05	   1.5944624692200001e-03	
   3.3599999999999997e-05	   1.6039048763999998e-03	
   3.3799999999999995e-05	   1.6132528037099999e-03	
   3.4000000000000007e-05	   1.6225051494800000e-03	
   3.4200000000000005e-05	   1.6316454114600001e-03	
   3.4400000000000003e-05	   1.6406264296499999e-03	
   3.4600000000000001e-05	   1.6495019305300001e-03	
   3.4799999999999999e-05	   1.6581401928100000e-03	
   3.5000000000000004e-05	   1.6667135770599998e-03	
   3.5200000000000002e-05	   1.6749507146300001e-03	
   3.5400000000000000e-05	   1.6831888288100002e-03	
   3.5599999999999998e-05	   1.6910002859000001e-03	
   3.5799999999999996e-05	   1.6987937916800001e-03	
   3.6000000000000001e-05	   1.7062691185500002e-03	
   3.6200000000000006e-05	   1.7135897919400001e-03	
   3.6400000000000004e-05	   1.7207708517700000e-03	
   3.6600000000000002e-05	   1.7276048689000001e-03	
   3.6800000000000000e-05	   1.7344398661700000e-03	
   3.6999999999999998e-05	   1.7408914563399999e-03	
   3.7199999999999996e-05	   1.7472386050199999e-03	
   3.7400000000000001e-05	   1.7535175787899999e-03	
   3.7599999999999999e-05	   1.7593860633800000e-03	
   3.7800000000000004e-05	   1.7652555190700000e-03	
   3.8000000000000002e-05	   1.7709657554500001e-03	
   3.8200000000000000e-05	   1.7763736753300000e-03	
   3.8399999999999998e-05	   1.7817825615000001e-03	
   3.8600000000000003e-05	   1.7870290975800002e-03	
   3.8800000000000001e-05	   1.7919992221800002e-03	
   3.8999999999999999e-05	   1.7969703063299999e-03	
